Timestamp,Sensor1
09:40:25,-4.69
09:40:25,-5.86
09:40:25,-8.15
09:40:25,-10.26
09:40:25,-12.13
09:40:25,-13.68
09:40:25,-14.86
09:40:25,-15.63
09:40:25,-15.98
09:40:26,-15.91
09:40:26,-15.45
09:40:26,-15.09
09:40:26,-14.14
09:40:26,-12.92
09:40:26,-11.50
09:40:26,-9.93
09:40:26,-8.26
09:40:26,-6.54
09:40:26,-4.80
09:40:27,-3.07
09:40:27,-1.37
09:40:27,0.26
09:40:27,1.82
09:40:27,3.29
09:40:27,4.66
09:40:27,5.92
09:40:27,6.51
09:40:27,7.57
09:40:27,8.51
09:40:28,9.30
09:40:28,9.94
09:40:28,10.45
09:40:28,10.82
09:40:28,11.06
09:40:28,11.17
09:40:28,11.17
09:40:28,11.05
09:40:28,10.83
09:40:28,10.68
09:40:29,10.32
09:40:29,9.88
09:40:29,9.37
09:40:29,8.79
09:40:29,8.16
09:40:29,7.49
09:40:29,6.81
09:40:29,6.14
09:40:29,5.51
09:40:29,4.95
09:40:30,4.47
09:40:30,4.27
09:40:30,3.96
09:40:30,3.75
09:40:30,3.63
09:40:30,3.58
09:40:30,3.57
09:40:30,3.56
09:40:30,3.52
09:40:30,3.42
09:40:31,3.25
09:40:31,3.13
09:40:31,2.82
09:40:31,2.41
09:40:31,1.86
09:40:31,1.16
09:40:31,0.25
09:40:31,-0.88
09:40:31,-2.25
09:40:31,-3.87
09:40:32,-5.70
09:40:32,-7.72
09:40:32,-9.84
09:40:32,-12.00
09:40:32,-14.11
09:40:32,-15.12
09:40:32,-16.99
09:40:32,-18.62
09:40:32,-19.94
09:40:32,-20.89
09:40:33,-21.46
09:40:33,-21.62
09:40:33,-21.55
09:40:33,-21.12
09:40:33,-20.34
09:40:33,-19.23
09:40:33,-17.84
09:40:33,-16.21
09:40:33,-14.37
09:40:33,-12.36
09:40:34,-10.23
09:40:34,-8.00
09:40:34,-5.72
09:40:34,-3.43
09:40:34,-1.16
09:40:34,1.05
09:40:34,3.16
09:40:34,5.16
09:40:34,7.00
09:40:34,8.68
09:40:35,9.44
09:40:35,10.83
09:40:35,12.01
09:40:35,12.98
09:40:35,13.75
09:40:35,14.32
09:40:35,14.69
